Id,area
Id_1,1.221
Id_2,0.99
Id_3,10.761
Id_4,5.736
Id_5,4.298
Id_6,1.257
Id_7,2.64
Id_8,1.799
Id_9,15.628
Id_10,2.866
Id_11,235.704
Id_12,12.931
Id_13,0.614
Id_14,4.682
Id_15,2.6915
Id_16,4.057
Id_17,58.914
Id_18,0.163
Id_19,9.478
Id_20,28.772
Id_21,11.937
Id_22,19.94
Id_23,17.205
Id_24,3.99
Id_25,3.496
Id_26,2.93
Id_27,0.708
Id_28,6.999
Id_29,36.129
Id_30,16.966
Id_31,0
Id_32,2.866
Id_33,0.442
Id_34,1.824
Id_35,77.083
Id_36,1.662
Id_37,3.765
Id_38,0
Id_39,0.989
Id_40,36.129
Id_41,0
Id_42,9.62
Id_43,10.46
Id_44,1.144
Id_45,1.627
Id_46,19.94
Id_47,3.568
Id_48,18.007
Id_49,10.365
Id_50,1.69
Id_51,15.936
Id_52,14.581
Id_53,5.798
Id_54,5.798
Id_55,0.22
Id_56,1.314
Id_57,0.345
Id_58,0.136
Id_59,9.006
Id_60,23.877
Id_61,6.4
Id_62,27.762
Id_63,3.997
Id_64,1.301
Id_65,0
Id_66,0.156
Id_67,2.745
